Dealname,Account,Roles,Technology,Grade,TREQ,Creation Date,Treq Start Date,Treq Aging,Priority,Location,Associate Identified
Deal 001,Client A,ML Engineer,Python,G5,TREQ001,2025-01-01,2025-01-05,4,Critical,NYC,
Deal 002,Client B,Data Scientist,Python,G5,TREQ002,2025-01-02,2025-01-06,4,Critical,SF,
Deal 003,Client C,Backend Dev,Python,G4,TREQ003,2025-01-03,2025-01-07,4,High,Chicago,
Deal 004,Client D,ML Engineer,Python,G6,TREQ004,2025-01-04,2025-01-08,4,Critical,Boston,
Deal 005,Client E,Data Engineer,Python,G5,TREQ005,2025-01-05,2025-01-09,4,High,Seattle,
Deal 006,Client F,AI Developer,Python,G5,TREQ006,2025-01-06,2025-01-10,4,Critical,Austin,
Deal 007,Client G,Backend Dev,Python,G4,TREQ007,2025-01-07,2025-01-11,4,High,Denver,
Deal 008,Client H,Data Scientist,Python,G5,TREQ008,2025-01-08,2025-01-12,4,High,LA,
Deal 009,Client A,ML Engineer,ML,G5,TREQ009,2025-01-09,2025-01-13,4,Critical,NYC,
Deal 010,Client B,AI Engineer,ML,G6,TREQ010,2025-01-10,2025-01-14,4,Critical,SF,
Deal 011,Client C,Data Scientist,ML,G5,TREQ011,2025-01-11,2025-01-15,4,Critical,Chicago,
Deal 012,Client D,ML Engineer,ML,G5,TREQ012,2025-01-12,2025-01-16,4,High,Boston,
Deal 013,Client E,AI Developer,ML,G6,TREQ013,2025-01-13,2025-01-17,4,Critical,Seattle,
Deal 014,Client F,Data Engineer,ML,G5,TREQ014,2025-01-14,2025-01-18,4,High,Austin,
Deal 015,Client A,Backend Dev,Java,G5,TREQ015,2025-01-15,2025-01-19,4,High,NYC,
Deal 016,Client B,Backend Dev,Java,G4,TREQ016,2025-01-16,2025-01-20,4,High,SF,
Deal 017,Client C,Backend Dev,Java,G5,TREQ017,2025-01-17,2025-01-21,4,High,Chicago,
Deal 018,Client D,Microservices Dev,Java,G5,TREQ018,2025-01-18,2025-01-22,4,High,Boston,
Deal 019,Client E,Spring Boot Dev,Java,G4,TREQ019,2025-01-19,2025-01-23,4,Medium,Seattle,
