Emp_Id,Grade,Department,Primary_Skill,Secondary_Skill,Course_Category,Duration_Hours,Delivery_Mode,Business_Priority,Skill_Gap_Score,Availability_Hours_Per_Week,Bench_Status,Performance_Rating,Learning_Style,Career_Goal,Completion_Percentage,Assessment_Score,Training_Success,Training_Course_Name,Mark_Range
E001,G5,Engineering,Java,Spring Boot,Backend,50.0,Hybrid,High,0.25,0.0,Not Available,4.2,Hands-on,Tech Lead,100.0,85.0,Pass,Microservices Patterns,80-89 (Very Good)
E002,G3,Engineering,JavaScript,React,Development,45.0,Online,High,0.3,0.0,Not Available,3.8,Visual,Senior Developer,100.0,78.0,Pass,General Training Course,70-79 (Pass)
E003,G6,Engineering,Java,Microservices,Architecture,70.0,Hybrid,Critical,0.4,10.0,Available,4.5,Reading,Architect,65.0,0.0,Fail,System Design,No Assessment
E004,G3,IT Support,Linux,Shell Scripting,Infrastructure,40.0,Hybrid,High,0.2,0.0,Not Available,3.6,Hands-on,DevOps Engineer,100.0,82.0,Pass,System Architecture,80-89 (Very Good)
E005,G5,Engineering,Go,Kubernetes,DevOps,50.0,Hybrid,Critical,0.15,0.0,Not Available,4.3,Hands-on,SRE Lead,100.0,88.0,Pass,CI/CD Pipeline Management,80-89 (Very Good)
E006,G4,IT Support,Windows,PowerShell,Cloud,40.0,Online,High,0.45,15.0,Available,3.9,Visual,Cloud Engineer,70.0,0.0,Fail,Cloud Security,No Assessment
E007,G4,QA,Appium,Mobile Testing,Testing,35.0,Hybrid,High,0.55,20.0,Aligned Opportunity,3.7,Hands-on,Test Lead,0.0,0.0,Fail,Testing Automation Tools,No Assessment
E008,G6,Data Science,Tableau,Power BI,Data Science,50.0,Hybrid,Critical,0.2,0.0,Not Available,4.6,Reading,AI Lead,100.0,90.0,Pass,Predictive Analytics,90-100 (Excellent)
E009,G3,QA,Cucumber,BDD,Testing,20.0,Online,High,0.35,0.0,Not Available,3.5,Visual,QA Engineer,100.0,76.0,Pass,Automated Testing Frameworks,70-79 (Pass)
E010,G4,QA,Robot Framework,Python,Programming,30.0,Online,High,0.3,0.0,Not Available,3.8,Visual,SDET,100.0,80.0,Pass,Design Patterns,80-89 (Very Good)
E011,G6,Data Science,Machine Learning,Python,Data Science,80.0,Hybrid,Critical,0.25,8.0,Available,4.7,Reading,ML Architect,75.0,0.0,Fail,Predictive Analytics,No Assessment
E012,G5,Engineering,Python,FastAPI,Development,50.0,Hybrid,High,0.4,12.0,Available,4.1,Hands-on,Full Stack Lead,50.0,0.0,Fail,General Training Course,No Assessment
E013,G6,Engineering,Scala,Spark,Data Engineering,55.0,Hybrid,High,0.15,0.0,Not Available,4.4,Hands-on,Data Architect,100.0,87.0,Pass,General Training Course,80-89 (Very Good)
E014,G6,Data Science,TensorFlow,PyTorch,Data Science,65.0,Hybrid,High,0.3,10.0,Available,4.8,Reading,AI Researcher,60.0,0.0,Fail,Advanced Machine Learning,No Assessment
E015,G6,Data Science,Spark,Databricks,Data Engineering,40.0,Hybrid,High,0.2,0.0,Not Available,4.3,Hands-on,Data Lead,100.0,84.0,Pass,General Training Course,80-89 (Very Good)
E016,G4,Data Science,SQL,PostgreSQL,Analytics,35.0,Hybrid,High,0.25,0.0,Not Available,4.0,Hands-on,DBA,100.0,79.0,Pass,Data Analytics,70-79 (Pass)
E017,G4,Engineering,Python,Django,Programming,40.0,Hybrid,High,0.2,0.0,Not Available,4.1,Hands-on,Backend Dev,100.0,82.0,Pass,Refactoring Techniques,80-89 (Very Good)
E018,G4,Engineering,Ruby,Rails,Development,30.0,Online,High,0.45,18.0,Aligned Opportunity,3.9,Visual,Full Stack Dev,100.0,75.0,Pass,General Training Course,70-79 (Pass)
E019,G5,Engineering,TypeScript,Angular,Development,45.0,Online,High,0.3,10.0,Available,4.2,Visual,Frontend Lead,80.0,0.0,Fail,General Training Course,No Assessment
E020,G4,Engineering,PHP,Laravel,Development,50.0,Hybrid,High,0.5,22.0,Aligned Opportunity,3.8,Hands-on,Backend Dev,0.0,0.0,Fail,General Training Course,No Assessment
E021,G3,Data Science,Python,Pandas,Analytics,35.0,Online,High,0.4,15.0,Aligned Opportunity,3.4,Visual,Data Analyst,100.0,74.0,Pass,Predictive Modeling,70-79 (Pass)
E022,G5,Engineering,CPP,Qt,DevOps,30.0,Hybrid,High,0.25,0.0,Not Available,4.0,Hands-on,Systems Dev,100.0,81.0,Pass,CI/CD Pipeline Management,80-89 (Very Good)
E023,G3,Engineering,HTML,CSS,Development,30.0,Online,High,0.35,0.0,Not Available,3.5,Visual,Web Dev,100.0,77.0,Pass,General Training Course,70-79 (Pass)
E024,G5,Data Science,SAS,SPSS,Data Science,60.0,Hybrid,Critical,0.45,15.0,Available,4.1,Reading,Data Scientist,55.0,0.0,Fail,Advanced Machine Learning,No Assessment
E025,G3,IT Support,MacOS,Jamf,DevOps,15.0,Online,High,0.2,0.0,Not Available,3.6,Visual,IT Admin,100.0,85.0,Pass,CI/CD Pipeline Management,80-89 (Very Good)
E026,G5,QA,Postman,Newman,Testing,35.0,Hybrid,High,0.3,0.0,Not Available,4.0,Hands-on,QA Lead,100.0,80.0,Pass,QA Best Practices,80-89 (Very Good)
E027,G3,Engineering,Kotlin,Android,Development,45.0,Online,Medium,0.5,18.0,Aligned Opportunity,3.7,Visual,Mobile Dev,40.0,0.0,Fail,General Training Course,No Assessment
E028,G5,Engineering,Swift,iOS,Development,45.0,Online,Medium,0.25,0.0,Not Available,4.2,Hands-on,iOS Lead,100.0,83.0,Pass,General Training Course,80-89 (Very Good)
E029,G4,Engineering,Node.js,Express,Development,30.0,Online,Medium,0.35,12.0,Available,3.9,Hands-on,Backend Dev,60.0,0.0,Fail,General Training Course,No Assessment
E030,G5,Engineering,Docker,Compose,DevOps,50.0,Hybrid,Critical,0.2,0.0,Not Available,4.3,Hands-on,DevOps Lead,100.0,86.0,Pass,Infrastructure as Code,80-89 (Very Good)
E031,G5,Engineering,Terraform,Ansible,Cloud,60.0,Hybrid,Critical,0.15,0.0,Not Available,4.4,Hands-on,Cloud Architect,100.0,88.0,Pass,AWS Solutions Architecture,80-89 (Very Good)
