Emp_Id,Employee_Name,Grade,Department,Location,Primary_Skill,Secondary_Skill,Course_ID,Course_Name,Course_Category,Course_Start_Date,Course_End_Date,Duration_Hours,Delivery_Mode,Course_Status,Completion_Percentage,Assessment_Score,Certification_Earned,Business_Priority,Skill_Gap_Score,Manager,Availability_Hours_Per_Week,Current_Project,Bench_Status,Performance_Rating,Learning_Style,Career_Goal,Recommended_Flag
E001,Daniel Park,G5,Engineering,NY,Java,Spring Boot,TM022,Backend API Development,Backend,15-01-2025,28-02-2025,50.0,Hybrid,Completed,100.0,85.0,Yes,High,0.25,Lisa Chen,0.0,Project C,Active,4.2,Hands-on,Tech Lead,0.0
E002,George Wang,G3,Engineering,Seattle,JavaScript,React,TM007,Full Stack Web Development,Development,10-02-2025,25-03-2025,45.0,Online,Completed,100.0,78.0,Yes,High,0.3,Tom Davis,0.0,Project F,Active,3.8,Visual,Senior Developer,0.0
E003,Kevin OBrien,G6,Engineering,Toronto,Java,Microservices,TM042,Software Architecture Design,Architecture,01-03-2025,15-05-2025,70.0,Hybrid,In Progress,65.0,0.0,No,Critical,0.4,Ryan Martinez,10.0,Project J,Active,4.5,Reading,Architect,1.0
E004,Oscar Martinez,G3,IT Support,Dallas,Linux,Shell Scripting,TM036,Linux System Administration,Infrastructure,20-01-2025,05-03-2025,40.0,Hybrid,Completed,100.0,82.0,Yes,High,0.2,Mark Taylor,0.0,Project N,Active,3.6,Hands-on,DevOps Engineer,0.0
E005,Rachel Green,G5,Engineering,Atlanta,Go,Kubernetes,TM014,DevOps and CI/CD Pipeline,DevOps,05-02-2025,20-03-2025,50.0,Hybrid,Completed,100.0,88.0,Yes,Critical,0.15,Sarah Brown,0.0,Project Q,Active,4.3,Hands-on,SRE Lead,0.0
E006,Xavier Ross,G4,IT Support,San Antonio,Windows,PowerShell,TM038,AWS Cloud Practitioner,Cloud,12-03-2025,25-04-2025,40.0,Online,In Progress,70.0,0.0,No,High,0.45,Julia Adams,15.0,Project W,Active,3.9,Visual,Cloud Engineer,1.0
E007,Brandon Scott,G4,QA,Fort Worth,Appium,Mobile Testing,TM023,Automated Testing with Selenium,Testing,01-04-2025,10-05-2025,35.0,Hybrid,Not Started,0.0,0.0,No,High,0.55,Lisa Chen,20.0,Project AA,Bench,3.7,Hands-on,Test Lead,1.0
E008,Henry Adams,G6,Data Science,Washington,Tableau,Power BI,TM030,Machine Learning with Python,Data Science,15-02-2025,10-04-2025,50.0,Hybrid,Completed,100.0,90.0,Yes,Critical,0.2,Amy Garcia,0.0,Project AG,Active,4.6,Reading,AI Lead,0.0
E009,Maria Johnson,G3,QA,Louisville,Cucumber,BDD,TM024,Automated Testing with Selenium,Testing,20-03-2025,15-04-2025,20.0,Online,Completed,100.0,76.0,Yes,High,0.35,Mark Taylor,0.0,Project AL,Active,3.5,Visual,QA Engineer,0.0
E010,Rita Wilson,G4,QA,Sacramento,Robot Framework,Python,TM001,Python Programming Fundamentals,Programming,05-01-2025,10-02-2025,30.0,Online,Completed,100.0,80.0,Yes,High,0.3,Nancy Kim,0.0,Project AQ,Active,3.8,Visual,SDET,0.0
E011,Fiona Clark,G6,Data Science,Boston,Machine Learning,Python,TM004,Machine Learning with Python,Data Science,01-02-2025,25-04-2025,80.0,Hybrid,In Progress,75.0,0.0,No,Critical,0.25,Sarah Brown,8.0,Project E,Active,4.7,Reading,ML Architect,1.0
E012,Julia Santos,G5,Engineering,Denver,Python,FastAPI,TM009,Full Stack Web Development,Development,10-03-2025,05-05-2025,50.0,Hybrid,In Progress,50.0,0.0,No,High,0.4,Amy Garcia,12.0,Project I,Active,4.1,Hands-on,Full Stack Lead,1.0
E013,Patricia White,G6,Engineering,Miami,Scala,Spark,TM027,Data Pipeline Engineering,Data Engineering,20-01-2025,15-03-2025,55.0,Hybrid,Completed,100.0,87.0,Yes,High,0.15,Lisa Chen,0.0,Project O,Active,4.4,Hands-on,Data Architect,0.0
E014,Uma Krishnan,G6,Data Science,San Diego,TensorFlow,PyTorch,TM029,Machine Learning with Python,Data Science,01-03-2025,10-05-2025,65.0,Hybrid,In Progress,60.0,0.0,No,High,0.3,Chris Lee,10.0,Project T,Active,4.8,Reading,AI Researcher,1.0
E015,Zachary King,G6,Data Science,Jacksonville,Spark,Databricks,TM028,Data Pipeline Engineering,Data Engineering,15-02-2025,30-03-2025,40.0,Hybrid,Completed,100.0,84.0,Yes,High,0.2,Jane Doe,0.0,Project Y,Active,4.3,Hands-on,Data Lead,0.0
E016,Ian Foster,G4,Data Science,LA,SQL,PostgreSQL,TM006,Data Analysis and Visualization,Analytics,01-02-2025,10-03-2025,35.0,Hybrid,Completed,100.0,79.0,Yes,High,0.25,Chris Lee,0.0,Project H,Active,4.0,Hands-on,DBA,0.0
E017,Michael Turner,G4,Engineering,Austin,Python,Django,TM002,Python Programming Fundamentals,Programming,20-01-2025,05-03-2025,40.0,Hybrid,Completed,100.0,82.0,Yes,High,0.2,John Smith,0.0,Project L,Active,4.1,Hands-on,Backend Dev,0.0
E018,Tanya Brooks,G4,Engineering,Minneapolis,Ruby,Rails,TM008,Full Stack Web Development,Development,10-02-2025,15-03-2025,30.0,Online,Completed,100.0,75.0,Yes,High,0.45,Nancy Kim,18.0,Project S,Bench,3.9,Visual,Full Stack Dev,1.0
E019,Yolanda Fisher,G5,Engineering,San Jose,TypeScript,Angular,TM007,Full Stack Web Development,Development,01-03-2025,18-04-2025,45.0,Online,In Progress,80.0,0.0,No,High,0.3,John Smith,10.0,Project X,Active,4.2,Visual,Frontend Lead,1.0
E020,Frank Miller,G4,Engineering,Seattle,PHP,Laravel,TM009,Full Stack Web Development,Development,15-03-2025,08-05-2025,50.0,Hybrid,Not Started,0.0,0.0,No,High,0.5,Nancy Kim,22.0,Project AE,Bench,3.8,Hands-on,Backend Dev,1.0
E021,Samuel Wright,G3,Data Science,Detroit,Python,Pandas,TM010,Data Analysis and Visualization,Analytics,01-01-2025,10-02-2025,35.0,Online,Completed,100.0,74.0,Yes,High,0.4,Tom Davis,15.0,Project R,Bench,3.4,Visual,Data Analyst,1.0
